"HolderAddress","Balance","PendingBalanceUpdate"
"0x011f1d065a106f9f14dbb114ccdb66823d80727b","11,055,724.916717066","No"
"0xe5078cbec9ba0c6e1352fef808ad2cbdf554621d","10,768,916.468033485","No"
"0xd21417cef9e5a555df816441ec8d071118f98fa2","10,749,447.674301132","No"
"0x7864c479e2ddefc10bcac19d482918ccc3babef7","10,710,067.016122159","No"
"0xb7c69fc0d5925657adbe0b5dffa82cdd661cca8a","10,681,886.978637544","No"
"0xc178285a8eaf31fa59ec5339f135230f502596cc","10,631,340.47400671","No"
"0xac2cbcec963ea98d4f8bc68a5b7faa99172fa4b5","10,606,571.820661469","No"
"0x6bbb47dc286473a7156b0d9b3df5588b3199c1f5","10,481,163.424640509","No"
"0x79baf47afe0579391b824b6f34c11216f80aadd5","10,430,410","No"
"0xe20e175df2ec1c9fdb9b5a91ba11f6c5691c95be","10,368,059.201950451","No"
"0xaba530fbbb39c43d9b7a367f85234d4fcc23677d","10,341,392.967109826","No"
"0x20b3da2ec23de493e36311108dd32a82efc32761","10,338,259.650536973","No"
"0x5a0ac23b69db12351510c31fc5adcbc2df8c04e5","10,332,595.898486375","No"
"0x2bd89adf988609ba5bb91cdc4250230ddc3d9da7","10,288,863.92954898","No"
"0x8c06cdf69ab0f8dc632f21881ec60952359553bc","10,239,500.256674896","No"
"0xbe843ba73612ab10dfd1338add6a56e54f6760d7","10,231,699.948687167","No"
"0x88bd317d759bf449279eae747cb6ada19206e820","10,194,568.525614175","No"
"0x2ef37daea40e4c972bfb2f18e494c3d2b4bf81ed","10,189,838.443504037","No"
"0x73383cb98df5e5df58fdc198cc510bc046dacf4c","10,175,032.40917225","No"
"0x2b60a0b2bf3398b20330e5f8c1f6c1df34e7c9f9","10,170,491.787474874","No"
"0xe9f6c913dd72854ac7f3fc50c6396eac096de8e1","10,160,017.61275503","No"
"0x46532f4ce1cf8b924284ba19a5c2425757d79024","10,114,642.558008144","No"
"0x510dcc6b7ca5812dfea4d32200e0d8281653e825","10,000,000","No"
"0x9d24f2b6b473f72c0ba930f1a8d82ea87f20f92b","9,928,277.176701939","No"
"0x55fb1fbca06770ef031a24f8a73fde2d92081b4f","9,884,072.104647109","No"
"0x7711cfcdec815e173c889eeebbe3fbf65d743e7d","9,855,210.609768493","No"
"0x3ea9ad961c3a9494ae47c48937a261c0f62337f1","9,779,744.62428078","No"
"0xf14f154b2ef1dcbeb426c396047a03f3bb898a79","9,707,355.179001226","No"
"0xc3f5fa9b4073958eff2fd935553768299d020c1d","9,631,570.344504327","No"
"0xdc05eee340e93f5dfafa2405d043717bcfea5fd4","9,607,068.037410823","No"
"0xe5a38e86636c98cfd7efaaaac55a37f14d0a142d","9,583,742.556717668","No"
"0xaf03581749c90860eacdf2c5857984c7eec2ad98","9,574,318.753790361","No"
"0x6602b455de30b4629073f8a7324b01c8cfa0af36","9,533,232.713309472","No"
"0x632deb8480867ee288802f967b37b3191f09fd97","9,338,585.011179818","No"
"0x1b6db33a52ab154a585faed1349a0923dc618288","9,276,584.963984551","No"
